table,bin,explain,type,short,text
fly,2,number of individual fly,,,
name_of_the_file,2,"""",,,
movie_number,2,"""",,,
sex,2,male \female,,,
condition,2,"""",,,
scores_Grooming,1,fly grooms,activity,Grooming,Groom
scores_Jump,1,fly jumps,activity,Jump,Jump
scores_Long_Distance_Approach,1,fly approaches from distance to another fly and perform interaction,social,Long Distance Approach,Long  Approach
scores_Short_Distance_Approach,1,fly approaches from short (up to 1 body length) to another fly and perform interaction,social,Short Distance Approach,Short  Approach
scores_Social_Clustering,1,fly sits together in a group of 3 or more flies,social,Social Clustering,Social Cluster
scores_Long_Lasting_Interaction,1,interaction that takes more than 30 frames (?),social,Long Lasting Interaction,Long Interaction
scores_Song,0,fly moves one wing next to another fly,social,Song,Song
scores_Stop,1,fly is still,activity,Stop,Stop
scores_Touch,1,fly actively touches another fly,social,Touch,Touch
scores_Turn,1,changes in fly's direction,activity,Turn,Turn
scores_Walk,1,fly moves.,activity,Walk,Walk
absanglefrom1to2_nose2ell,1,Absolute difference between direction to closest animal based on dnose2ell and current animal’s orientation (rad),social,Orientation Diff To Closest Animal,Orientation Diff to Nearest Fly
absdtheta,1,Angular speed (rad/s) |dtheta|. Transformations: relative,activity,Angular speed (rad/s) ,Angular Speed
absphidiff_anglesub,1,Absolute difference in velocity direction between current animal and closest animal based on anglesub (rad),coordination,Relative radial velocity (anglesub),Relative Radial Velocity (anglesub)
absphidiff_nose2ell,1,Absolute difference in velocity direction between current animal and closest animal based on dnose2ell (rad),coordination,Relative radial velocity (nose2ell),Relative Radial Velocity (nose2ell)
absthetadiff_anglesub,1,: Absolute difference in orientation between current animal and closest animal based on anglesub (rad),coordination,Difference in orientation between two flies (anglesub),Diff in Orientation Between Two Flies (anglesub)
absthetadiff_nose2ell,1,Absolute difference in orientation between this animal and closest animal based on dnose2ell (rad),coordination,Difference in orientation between two flies (nose2ell),Diff in Orientation Between Two Flies (nose2ell)
anglefrom1to2_anglesub,1,Angle to closest (based on angle subtended) animal’s centroid in current animal’s coordinate system. Metric that encodes the position of the closest animal relative to the current animal.,coordination,Angle To Closest Animal,Angle to Nearest Fly
anglefrom1to2_nose2ell,1,"Angle to closest (based on distance from nose to ellipse) animal’s centroid in current animal’s coordinate system. Metric that encodes the position of the closest animal relative to the current animal. Transformations: flip, abs.",coordination,Angle To Closest Animal (Dnose2Ell),Angle to Nearest Fly (dnose2ell)
angleonclosestfly,1,"Angle of the current animal’s centroid in the closest (based on distance from nose to ellipse) animal’s coordinate system. Metric that encodes the position of the closest animal relative to the current animal. Transformations: flip, abs.",coordination,Angle Of Current Animal (Dnose2Ell),Fly's Angle (dnose2ell)
